week_start,week_end,cases,dt_week_release,Time,Median,LI,LS,LIb,LSb
2025-01-05,2025-01-11,2,2025-03-23,NA,NA,NA,NA,NA,NA
2025-01-12,2025-01-18,1,2025-03-23,NA,NA,NA,NA,NA,NA
2025-01-19,2025-01-25,6,2025-03-23,NA,NA,NA,NA,NA,NA
2025-01-26,2025-02-01,17,2025-03-23,NA,NA,NA,NA,NA,NA
2025-02-02,2025-02-08,26,2025-03-23,NA,NA,NA,NA,NA,NA
2025-02-09,2025-02-15,61,2025-03-23,NA,NA,NA,NA,NA,NA
2025-02-16,2025-02-22,88,2025-03-23,NA,NA,NA,NA,NA,NA
2025-02-23,2025-03-01,70,2025-03-23,7,72,70,79,71,74
2025-03-02,2025-03-08,76,2025-03-23,8,84,78,95,82,87
2025-03-09,2025-03-15,63,2025-03-23,9,77,68,93,74,82
2025-03-16,2025-03-22,49,2025-03-23,10,92,71.975,122.02499999999998,84,100
2025-03-23,2025-03-29,23,2025-03-23,11,163,86,309.07499999999993,135,202.25
